Vegetables,Fruits,"Grains, Beans and Nuts",Meat and Poultry,Fish and Seafood,Dairy Foods
artichoke,apple,almonds,bacon,carp,Brie soft cheese
asparagus,apricot,black eyed peas,beef spare ribs,caviar or sturgeon roe,butter
beetroot,avocado,bread,beef topside,cod,Camembert cheese
bell pepper or capsicum,banana,breakfast cereal,chicken,crab,Cheddar cheese
broccoli,blackberry,cashew nuts,chicken breasts,crayfish,condensed milk
Brussels sprouts,cantaloupe or rockmelon or muskmelon,chestnuts,drumsticks,eel,cottage cheese
cabbage,cherry,chickpeas,chicken wings,fillets of snapper,cream cheese as spread
carrot,fig,cocoa beans,diced goat meat,lobster,double or thickened cream
cauliflower,grapes,coconut,duck,mussels,Edam cheese
celery,green olive,coffee beans,fillet steak,octopus,feta cheese
cucumber,kiwifruit or kiwi or Chinese gooseberry,corn or maize,ham on the bone or honey glazed ham,oysters,frozen yoghurt
eggplant,lemon,flour,leg of lamb,periwinkles or winkles,gelato
garlic,lime,haricot beans or baked beans,liver,prawn,ice-cream
lettuce,mango,legumes,minced pork,salmon roe,milk
mushrooms,mangosteen,lentils,mutton,salmon fillet,milk powder or powdered milk
onion,orange,lima beans,ox tongue,sardines in a can,Mozzarella cheese
peas,papaya or pawpaw,oatmeal with milk,ox heart,scallop,Parmesan cheese
potato,peach,peanuts,pork leg,shrimp,processed cheese slices
pumpkin,pineapple,pinto beans,rabbit,smoked fish,Stilton blue cheese
spinach,plum,pistachios or pistachio nuts,sausages,snapper,ricotta cheese
string beans or green beans,raisins,rice (cooked),sliced ham,squid,Swiss cheese
turnip,strawberry,tortilla,T-bone steak,trout,wheel of Gouda cheese
yam,tomato,walnuts,tripe,tuna,whipped cream
zucchini,watermelon,wheat,turkey,tuna steak,yoghurt or yogurt
